"lead_id","created_date","source","campaign","country","device","job_title","company_size","industry","customer_id","conversion_date","revenue","converted","conversion_days","lead_quality"
1,"2024-01-28","Google Ads","Campaign A","USA","Mobile","Director","Small","Finance","1","2024-02-05","584.0806525145268",1,8,"Low Value"
2,"2024-03-17","Facebook Ads","Campaign B","Europe","Desktop","VP","Small","Tech",NULL,NULL,NULL,0,NULL,"Not Converted"
3,"2024-02-21","Google Ads","Campaign A","Europe","Mobile","Manager","Medium","Retail",NULL,NULL,NULL,0,NULL,"Not Converted"
4,"2024-06-17","Facebook Ads","Campaign A","USA","Desktop","Manager","Enterprise","Tech",NULL,NULL,NULL,0,NULL,"Not Converted"
5,"2024-06-28","Google Ads","Campaign A","USA","Mobile","Director","Medium","Retail",NULL,NULL,NULL,0,NULL,"Not Converted"
6,"2024-03-20","Google Ads","Campaign A","USA","Mobile","Manager","Small","Retail",NULL,NULL,NULL,0,NULL,"Not Converted"
7,"2024-01-07","Google Ads","Campaign A","USA","Mobile","Manager","Medium","Tech",NULL,NULL,NULL,0,NULL,"Not Converted"
8,"2024-06-11","Facebook Ads","Campaign A","USA","Mobile","Manager","Small","Tech",NULL,NULL,NULL,0,NULL,"Not Converted"
9,"2024-05-04","Google Ads","Campaign A","USA","Mobile","VP","Small","Finance",NULL,NULL,NULL,0,NULL,"Not Converted"
10,"2024-06-10","Google Ads","Campaign B","USA","Desktop","Director","Medium","Retail",NULL,NULL,NULL,0,NULL,"Not Converted"
11,"2024-05-03","Google Ads","Campaign A","USA","Mobile","Manager","Medium","Finance",NULL,NULL,NULL,0,NULL,"Not Converted"
12,"2024-01-30","Facebook Ads","Campaign B","USA","Desktop","Manager","Small","Finance","2","2024-02-06","320.9644904383165",1,7,"Low Value"
13,"2024-02-21","Google Ads","Campaign A","USA","Mobile","Director","Small","Finance",NULL,NULL,NULL,0,NULL,"Not Converted"
14,"2024-01-21","Google Ads","Campaign A","Europe","Mobile","VP","Small","Tech",NULL,NULL,NULL,0,NULL,"Not Converted"
15,"2024-04-04","Google Ads","Campaign B","Europe","Mobile","Manager","Medium","Tech",NULL,NULL,NULL,0,NULL,"Not Converted"
16,"2024-03-24","Facebook Ads","Campaign A","Europe","Mobile","Director","Medium","Finance",NULL,NULL,NULL,0,NULL,"Not Converted"
17,"2024-02-20","Facebook Ads","Campaign B","Europe","Mobile","Director","Small","Finance",NULL,NULL,NULL,0,NULL,"Not Converted"
18,"2024-05-03","Google Ads","Campaign A","Europe","Desktop","Manager","Small","Tech",NULL,NULL,NULL,0,NULL,"Not Converted"
19,"2024-02-10","Google Ads","Campaign B","Europe","Mobile","Director","Medium","Finance",NULL,NULL,NULL,0,NULL,"Not Converted"
20,"2024-03-05","Google Ads","Campaign A","USA","Desktop","VP","Small","Tech",NULL,NULL,NULL,0,NULL,"Not Converted"
21,"2024-04-06","LinkedIn","Campaign B","Europe","Mobile","VP","Medium","Tech","3","2024-04-23","2254.920718317193",1,17,"Medium Value"
22,"2024-06-06","Google Ads","Campaign A","Europe","Mobile","Manager","Small","Retail","4","2024-06-15","372.9280634418193",1,9,"Low Value"
23,"2024-03-11","LinkedIn","Campaign A","USA","Mobile","Director","Small","Finance",NULL,NULL,NULL,0,NULL,"Not Converted"
24,"2024-04-22","Google Ads","Campaign A","USA","Mobile","Director","Medium","Finance",NULL,NULL,NULL,0,NULL,"Not Converted"
25,"2024-06-23","LinkedIn","Campaign A","Europe","Mobile","Director","Enterprise","Retail",NULL,NULL,NULL,0,NULL,"Not Converted"
26,"2024-06-05","Google Ads","Campaign B","Europe","Mobile","Director","Medium","Retail",NULL,NULL,NULL,0,NULL,"Not Converted"
27,"2024-01-09","Google Ads","Campaign A","Europe","Mobile","Manager","Small","Tech",NULL,NULL,NULL,0,NULL,"Not Converted"
28,"2024-03-08","LinkedIn","Campaign B","USA","Desktop","Director","Small","Finance","5","2024-03-13","583.0215278774605",1,5,"Low Value"
29,"2024-04-07","Facebook Ads","Campaign A","Europe","Mobile","Director","Medium","Retail",NULL,NULL,NULL,0,NULL,"Not Converted"
30,"2024-04-18","Facebook Ads","Campaign A","USA","Mobile","Manager","Small","Finance",NULL,NULL,NULL,0,NULL,"Not Converted"
31,"2024-02-22","Google Ads","Campaign B","USA","Mobile","Director","Medium","Tech",NULL,NULL,NULL,0,NULL,"Not Converted"
32,"2024-02-21","LinkedIn","Campaign A","Europe","Mobile","Director","Medium","Tech",NULL,NULL,NULL,0,NULL,"Not Converted"
33,"2024-05-25","Google Ads","Campaign B","USA","Desktop","Director","Medium","Tech",NULL,NULL,NULL,0,NULL,"Not Converted"
34,"2024-01-29","Facebook Ads","Campaign A","Europe","Desktop","Director","Medium","Tech",NULL,NULL,NULL,0,NULL,"Not Converted"
35,"2024-04-13","Facebook Ads","Campaign A","USA","Mobile","VP","Small","Finance",NULL,NULL,NULL,0,NULL,"Not Converted"
36,"2024-03-05","Google Ads","Campaign A","Europe","Mobile","Manager","Enterprise","Tech",NULL,NULL,NULL,0,NULL,"Not Converted"
37,"2024-05-15","LinkedIn","Campaign A","USA","Desktop","Manager","Small","Retail",NULL,NULL,NULL,0,NULL,"Not Converted"
38,"2024-06-08","Facebook Ads","Campaign B","Europe","Mobile","Director","Medium","Finance",NULL,NULL,NULL,0,NULL,"Not Converted"
39,"2024-05-26","Google Ads","Campaign A","USA","Mobile","VP","Small","Finance","6","2024-06-04","542.1026982469024",1,9,"Low Value"
40,"2024-01-24","Google Ads","Campaign B","Europe","Mobile","Manager","Medium","Finance",NULL,NULL,NULL,0,NULL,"Not Converted"
41,"2024-02-01","LinkedIn","Campaign B","USA","Mobile","Manager","Medium","Finance",NULL,NULL,NULL,0,NULL,"Not Converted"
42,"2024-06-18","Facebook Ads","Campaign B","USA","Desktop","Manager","Medium","Tech",NULL,NULL,NULL,0,NULL,"Not Converted"
43,"2024-06-26","LinkedIn","Campaign A","USA","Mobile","VP","Small","Finance","7","2024-07-05","189.2512615188833",1,9,"Low Value"
44,"2024-04-17","Facebook Ads","Campaign A","USA","Mobile","Director","Small","Tech",NULL,NULL,NULL,0,NULL,"Not Converted"
45,"2024-02-15","Google Ads","Campaign A","USA","Mobile","Manager","Small","Tech",NULL,NULL,NULL,0,NULL,"Not Converted"
46,"2024-05-13","Facebook Ads","Campaign A","Europe","Desktop","Director","Small","Finance",NULL,NULL,NULL,0,NULL,"Not Converted"
47,"2024-02-20","Google Ads","Campaign B","Europe","Mobile","VP","Small","Finance",NULL,NULL,NULL,0,NULL,"Not Converted"
48,"2024-05-20","Facebook Ads","Campaign A","USA","Mobile","Director","Medium","Finance","8","2024-06-03","884.321583730536",1,14,"Low Value"
49,"2024-02-27","Google Ads","Campaign B","Europe","Desktop","Manager","Small","Finance",NULL,NULL,NULL,0,NULL,"Not Converted"
50,"2024-02-04","LinkedIn","Campaign A","USA","Desktop","Director","Small","Retail",NULL,NULL,NULL,0,NULL,"Not Converted"
51,"2024-05-08","Google Ads","Campaign B","USA","Mobile","Director","Small","Finance",NULL,NULL,NULL,0,NULL,"Not Converted"
52,"2024-03-29","Google Ads","Campaign B","USA","Desktop","VP","Enterprise","Tech",NULL,NULL,NULL,0,NULL,"Not Converted"
53,"2024-01-15","Google Ads","Campaign B","Europe","Mobile","Manager","Medium","Finance",NULL,NULL,NULL,0,NULL,"Not Converted"
54,"2024-01-20","LinkedIn","Campaign B","USA","Mobile","Manager","Small","Finance",NULL,NULL,NULL,0,NULL,"Not Converted"
55,"2024-04-21","Referral","Campaign B","USA","Mobile","Director","Medium","Finance",NULL,NULL,NULL,0,NULL,"Not Converted"
56,"2024-03-27","Facebook Ads","Campaign A","USA","Desktop","VP","Medium","Finance",NULL,NULL,NULL,0,NULL,"Not Converted"
57,"2024-04-28","Google Ads","Campaign B","USA","Desktop","VP","Small","Finance",NULL,NULL,NULL,0,NULL,"Not Converted"
58,"2024-01-08","Google Ads","Campaign A","USA","Mobile","VP","Small","Finance",NULL,NULL,NULL,0,NULL,"Not Converted"
59,"2024-04-21","Google Ads","Campaign B","USA","Mobile","Manager","Small","Tech",NULL,NULL,NULL,0,NULL,"Not Converted"
60,"2024-06-22","Facebook Ads","Campaign A","USA","Mobile","VP","Small","Finance",NULL,NULL,NULL,0,NULL,"Not Converted"
61,"2024-02-17","Google Ads","Campaign B","USA","Mobile","Director","Medium","Retail","9","2024-03-03","1833.319807009525",1,15,"Medium Value"
62,"2024-04-12","LinkedIn","Campaign A","USA","Mobile","Director","Small","Retail",NULL,NULL,NULL,0,NULL,"Not Converted"
63,"2024-05-16","Google Ads","Campaign A","USA","Mobile","VP","Small","Finance",NULL,NULL,NULL,0,NULL,"Not Converted"
64,"2024-02-01","Facebook Ads","Campaign A","Europe","Desktop","Manager","Small","Finance",NULL,NULL,NULL,0,NULL,"Not Converted"
65,"2024-05-14","Google Ads","Campaign A","USA","Mobile","VP","Small","Tech",NULL,NULL,NULL,0,NULL,"Not Converted"
66,"2024-05-11","Referral","Campaign A","USA","Mobile","Manager","Small","Tech",NULL,NULL,NULL,0,NULL,"Not Converted"
67,"2024-01-09","LinkedIn","Campaign B","Europe","Desktop","Manager","Medium","Tech",NULL,NULL,NULL,0,NULL,"Not Converted"
68,"2024-04-07","Google Ads","Campaign B","Europe","Mobile","VP","Small","Finance",NULL,NULL,NULL,0,NULL,"Not Converted"
69,"2024-03-18","Facebook Ads","Campaign B","USA","Mobile","Manager","Enterprise","Finance",NULL,NULL,NULL,0,NULL,"Not Converted"
70,"2024-02-09","Google Ads","Campaign A","USA","Mobile","Manager","Medium","Finance",NULL,NULL,NULL,0,NULL,"Not Converted"
71,"2024-02-21","Google Ads","Campaign B","USA","Mobile","Director","Enterprise","Tech",NULL,NULL,NULL,0,NULL,"Not Converted"
72,"2024-05-15","Google Ads","Campaign B","USA","Desktop","VP","Small","Tech",NULL,NULL,NULL,0,NULL,"Not Converted"
73,"2024-01-08","Facebook Ads","Campaign B","USA","Mobile","Manager","Small","Finance",NULL,NULL,NULL,0,NULL,"Not Converted"
74,"2024-04-09","Google Ads","Campaign B","USA","Mobile","VP","Small","Finance","10","2024-04-14","237.0535581811011",1,5,"Low Value"
75,"2024-06-04","Facebook Ads","Campaign B","USA","Mobile","Manager","Medium","Finance",NULL,NULL,NULL,0,NULL,"Not Converted"
76,"2024-03-16","Google Ads","Campaign A","USA","Mobile","VP","Medium","Finance",NULL,NULL,NULL,0,NULL,"Not Converted"
77,"2024-02-18","LinkedIn","Campaign B","USA","Mobile","Manager","Small","Finance","11","2024-02-22","537.8245086450041",1,4,"Low Value"
78,"2024-01-10","Facebook Ads","Campaign A","USA","Mobile","Manager","Small","Retail","12","2024-01-18","104.45130539521732",1,8,"Low Value"
79,"2024-02-09","Facebook Ads","Campaign A","Europe","Desktop","Director","Medium","Finance",NULL,NULL,NULL,0,NULL,"Not Converted"
80,"2024-01-30","Google Ads","Campaign A","Europe","Desktop","Manager","Enterprise","Tech","13","2024-03-08","4645.942848743291",1,38,"High Value"
81,"2024-04-04","Facebook Ads","Campaign A","USA","Mobile","Director","Small","Finance",NULL,NULL,NULL,0,NULL,"Not Converted"
82,"2024-05-21","Facebook Ads","Campaign A","USA","Desktop","Director","Medium","Finance",NULL,NULL,NULL,0,NULL,"Not Converted"
83,"2024-04-27","Google Ads","Campaign B","Europe","Mobile","VP","Medium","Finance",NULL,NULL,NULL,0,NULL,"Not Converted"
84,"2024-03-07","LinkedIn","Campaign B","USA","Desktop","Manager","Small","Tech",NULL,NULL,NULL,0,NULL,"Not Converted"
85,"2024-06-18","LinkedIn","Campaign B","USA","Desktop","Director","Medium","Finance",NULL,NULL,NULL,0,NULL,"Not Converted"
86,"2024-01-08","Google Ads","Campaign B","USA","Desktop","Manager","Small","Finance",NULL,NULL,NULL,0,NULL,"Not Converted"
87,"2024-04-23","Google Ads","Campaign A","USA","Desktop","Manager","Small","Retail",NULL,NULL,NULL,0,NULL,"Not Converted"
88,"2024-01-14","Facebook Ads","Campaign A","USA","Desktop","VP","Small","Finance",NULL,NULL,NULL,0,NULL,"Not Converted"
89,"2024-01-10","Facebook Ads","Campaign B","Europe","Mobile","Director","Medium","Retail",NULL,NULL,NULL,0,NULL,"Not Converted"
90,"2024-04-04","Google Ads","Campaign B","USA","Mobile","Manager","Enterprise","Tech",NULL,NULL,NULL,0,NULL,"Not Converted"
91,"2024-03-13","Facebook Ads","Campaign A","Europe","Mobile","Director","Small","Finance",NULL,NULL,NULL,0,NULL,"Not Converted"
92,"2024-06-05","Google Ads","Campaign A","Europe","Desktop","Manager","Medium","Tech",NULL,NULL,NULL,0,NULL,"Not Converted"
93,"2024-04-06","Facebook Ads","Campaign A","USA","Mobile","Manager","Small","Tech",NULL,NULL,NULL,0,NULL,"Not Converted"
94,"2024-02-27","Facebook Ads","Campaign A","Europe","Mobile","VP","Small","Retail",NULL,NULL,NULL,0,NULL,"Not Converted"
95,"2024-04-06","Google Ads","Campaign B","Europe","Mobile","Director","Small","Tech",NULL,NULL,NULL,0,NULL,"Not Converted"
96,"2024-03-24","Referral","Campaign A","Europe","Mobile","Director","Small","Finance",NULL,NULL,NULL,0,NULL,"Not Converted"
97,"2024-06-17","Facebook Ads","Campaign B","Europe","Desktop","Director","Small","Retail",NULL,NULL,NULL,0,NULL,"Not Converted"
98,"2024-04-17","Facebook Ads","Campaign A","USA","Desktop","Manager","Small","Retail",NULL,NULL,NULL,0,NULL,"Not Converted"
99,"2024-04-09","LinkedIn","Campaign B","USA","Mobile","Director","Enterprise","Finance",NULL,NULL,NULL,0,NULL,"Not Converted"
100,"2024-06-10","Facebook Ads","Campaign A","Europe","Mobile","VP","Medium","Tech",NULL,NULL,NULL,0,NULL,"Not Converted"
101,"2024-04-15","Google Ads","Campaign B","Europe","Mobile","Director","Enterprise","Tech","14","2024-05-24","8073.485646871315",1,39,"High Value"
102,"2024-04-25","LinkedIn","Campaign B","USA","Desktop","VP","Enterprise","Finance",NULL,NULL,NULL,0,NULL,"Not Converted"
103,"2024-04-15","Google Ads","Campaign A","USA","Mobile","Manager","Small","Retail",NULL,NULL,NULL,0,NULL,"Not Converted"
104,"2024-01-19","Facebook Ads","Campaign B","USA","Mobile","Director","Enterprise","Finance",NULL,NULL,NULL,0,NULL,"Not Converted"
105,"2024-02-04","Google Ads","Campaign A","Europe","Mobile","VP","Medium","Finance",NULL,NULL,NULL,0,NULL,"Not Converted"
106,"2024-02-11","Google Ads","Campaign A","USA","Mobile","Manager","Medium","Finance",NULL,NULL,NULL,0,NULL,"Not Converted"
107,"2024-03-11","Facebook Ads","Campaign B","Europe","Mobile","Director","Small","Tech",NULL,NULL,NULL,0,NULL,"Not Converted"
108,"2024-01-28","Facebook Ads","Campaign B","USA","Desktop","Manager","Small","Tech",NULL,NULL,NULL,0,NULL,"Not Converted"
109,"2024-03-16","Facebook Ads","Campaign A","USA","Mobile","VP","Medium","Retail",NULL,NULL,NULL,0,NULL,"Not Converted"
110,"2024-05-03","Facebook Ads","Campaign B","Europe","Mobile","Director","Small","Finance",NULL,NULL,NULL,0,NULL,"Not Converted"
111,"2024-02-01","Facebook Ads","Campaign A","USA","Mobile","Manager","Small","Finance",NULL,NULL,NULL,0,NULL,"Not Converted"
112,"2024-03-17","Facebook Ads","Campaign A","USA","Desktop","Director","Small","Tech",NULL,NULL,NULL,0,NULL,"Not Converted"
113,"2024-01-27","LinkedIn","Campaign B","USA","Mobile","Director","Medium","Tech",NULL,NULL,NULL,0,NULL,"Not Converted"
114,"2024-05-29","Google Ads","Campaign A","Europe","Mobile","VP","Medium","Tech",NULL,NULL,NULL,0,NULL,"Not Converted"
115,"2024-05-18","Facebook Ads","Campaign B","USA","Mobile","Manager","Small","Retail","15","2024-05-23","494.2324477902398",1,5,"Low Value"
116,"2024-03-29","LinkedIn","Campaign B","Europe","Mobile","Director","Small","Tech",NULL,NULL,NULL,0,NULL,"Not Converted"
117,"2024-05-13","Google Ads","Campaign B","Europe","Mobile","Director","Small","Finance",NULL,NULL,NULL,0,NULL,"Not Converted"
118,"2024-05-22","Facebook Ads","Campaign B","USA","Desktop","Director","Small","Retail",NULL,NULL,NULL,0,NULL,"Not Converted"
119,"2024-06-26","Google Ads","Campaign B","Europe","Mobile","Director","Small","Finance",NULL,NULL,NULL,0,NULL,"Not Converted"
120,"2024-06-27","Google Ads","Campaign A","USA","Mobile","Director","Medium","Tech",NULL,NULL,NULL,0,NULL,"Not Converted"
121,"2024-02-24","Google Ads","Campaign B","USA","Mobile","Director","Enterprise","Finance",NULL,NULL,NULL,0,NULL,"Not Converted"
122,"2024-06-01","Google Ads","Campaign A","Europe","Mobile","Director","Small","Finance",NULL,NULL,NULL,0,NULL,"Not Converted"
123,"2024-05-22","Google Ads","Campaign B","USA","Mobile","VP","Small","Finance",NULL,NULL,NULL,0,NULL,"Not Converted"
124,"2024-05-22","Google Ads","Campaign A","USA","Desktop","VP","Small","Retail","16","2024-05-25","538.997711695197",1,3,"Low Value"
125,"2024-05-02","Google Ads","Campaign B","USA","Mobile","Director","Medium","Finance",NULL,NULL,NULL,0,NULL,"Not Converted"
126,"2024-06-04","Google Ads","Campaign A","Europe","Mobile","Manager","Medium","Finance",NULL,NULL,NULL,0,NULL,"Not Converted"
127,"2024-06-13","Facebook Ads","Campaign B","Europe","Desktop","Manager","Small","Retail",NULL,NULL,NULL,0,NULL,"Not Converted"
128,"2024-04-15","Facebook Ads","Campaign B","Europe","Mobile","Director","Small","Finance",NULL,NULL,NULL,0,NULL,"Not Converted"
129,"2024-06-23","Google Ads","Campaign A","Europe","Mobile","VP","Small","Tech",NULL,NULL,NULL,0,NULL,"Not Converted"
130,"2024-05-26","Google Ads","Campaign A","USA","Mobile","Director","Small","Finance",NULL,NULL,NULL,0,NULL,"Not Converted"
131,"2024-03-02","Google Ads","Campaign A","Europe","Mobile","Director","Medium","Finance",NULL,NULL,NULL,0,NULL,"Not Converted"
132,"2024-01-26","Referral","Campaign B","USA","Mobile","VP","Small","Finance","17","2024-02-01","504.62257281264823",1,6,"Low Value"
133,"2024-04-16","LinkedIn","Campaign A","USA","Mobile","VP","Medium","Finance",NULL,NULL,NULL,0,NULL,"Not Converted"
134,"2024-01-26","Facebook Ads","Campaign B","USA","Mobile","Director","Small","Finance",NULL,NULL,NULL,0,NULL,"Not Converted"
135,"2024-06-23","Google Ads","Campaign B","USA","Desktop","Manager","Enterprise","Tech",NULL,NULL,NULL,0,NULL,"Not Converted"
136,"2024-02-23","Referral","Campaign A","Europe","Mobile","Manager","Small","Tech",NULL,NULL,NULL,0,NULL,"Not Converted"
137,"2024-04-28","Facebook Ads","Campaign B","USA","Mobile","Director","Small","Finance",NULL,NULL,NULL,0,NULL,"Not Converted"
138,"2024-01-20","Facebook Ads","Campaign B","USA","Desktop","Manager","Medium","Retail",NULL,NULL,NULL,0,NULL,"Not Converted"
139,"2024-05-14","Google Ads","Campaign B","USA","Desktop","Manager","Small","Tech","18","2024-05-22","313.9857707130466",1,8,"Low Value"
140,"2024-02-18","LinkedIn","Campaign A","USA","Mobile","VP","Small","Tech","19","2024-02-26","200.03045519992003",1,8,"Low Value"
141,"2024-02-21","Facebook Ads","Campaign A","USA","Mobile","VP","Small","Finance",NULL,NULL,NULL,0,NULL,"Not Converted"
142,"2024-06-27","Facebook Ads","Campaign A","USA","Mobile","Director","Small","Tech",NULL,NULL,NULL,0,NULL,"Not Converted"
143,"2024-02-06","LinkedIn","Campaign A","Europe","Mobile","Director","Small","Retail","20","2024-02-10","155.24687327387633",1,4,"Low Value"
144,"2024-03-15","Google Ads","Campaign B","Europe","Mobile","Manager","Small","Tech",NULL,NULL,NULL,0,NULL,"Not Converted"
145,"2024-05-30","Facebook Ads","Campaign B","USA","Mobile","Director","Small","Tech",NULL,NULL,NULL,0,NULL,"Not Converted"
146,"2024-04-28","Facebook Ads","Campaign A","USA","Mobile","Director","Medium","Finance",NULL,NULL,NULL,0,NULL,"Not Converted"
147,"2024-05-11","Facebook Ads","Campaign B","USA","Desktop","Director","Small","Tech",NULL,NULL,NULL,0,NULL,"Not Converted"
148,"2024-04-17","Facebook Ads","Campaign A","USA","Mobile","Director","Medium","Finance",NULL,NULL,NULL,0,NULL,"Not Converted"
149,"2024-06-03","Google Ads","Campaign A","Europe","Mobile","Director","Medium","Retail",NULL,NULL,NULL,0,NULL,"Not Converted"
150,"2024-05-13","Google Ads","Campaign B","USA","Mobile","Director","Medium","Finance",NULL,NULL,NULL,0,NULL,"Not Converted"
151,"2024-06-27","Facebook Ads","Campaign B","Europe","Mobile","Manager","Enterprise","Finance",NULL,NULL,NULL,0,NULL,"Not Converted"
152,"2024-05-24","Facebook Ads","Campaign B","Europe","Mobile","Director","Medium","Tech",NULL,NULL,NULL,0,NULL,"Not Converted"
153,"2024-03-28","Facebook Ads","Campaign A","USA","Desktop","Director","Medium","Tech",NULL,NULL,NULL,0,NULL,"Not Converted"
154,"2024-05-06","LinkedIn","Campaign B","Europe","Mobile","Director","Medium","Finance",NULL,NULL,NULL,0,NULL,"Not Converted"
155,"2024-04-22","Google Ads","Campaign A","Europe","Desktop","VP","Small","Retail",NULL,NULL,NULL,0,NULL,"Not Converted"
156,"2024-05-03","Facebook Ads","Campaign B","Europe","Mobile","VP","Small","Tech",NULL,NULL,NULL,0,NULL,"Not Converted"
157,"2024-02-21","Google Ads","Campaign B","Europe","Mobile","VP","Small","Tech",NULL,NULL,NULL,0,NULL,"Not Converted"
158,"2024-05-20","LinkedIn","Campaign A","USA","Mobile","Director","Medium","Tech",NULL,NULL,NULL,0,NULL,"Not Converted"
159,"2024-04-30","Google Ads","Campaign A","Europe","Desktop","Director","Small","Finance",NULL,NULL,NULL,0,NULL,"Not Converted"
160,"2024-02-24","Facebook Ads","Campaign A","Europe","Mobile","Director","Small","Finance",NULL,NULL,NULL,0,NULL,"Not Converted"
161,"2024-05-02","Google Ads","Campaign A","USA","Mobile","Director","Medium","Finance",NULL,NULL,NULL,0,NULL,"Not Converted"
162,"2024-01-11","Google Ads","Campaign A","USA","Desktop","Director","Medium","Finance","21","2024-01-26","1543.82253740428",1,15,"Medium Value"
163,"2024-03-29","Google Ads","Campaign B","USA","Desktop","Manager","Medium","Finance",NULL,NULL,NULL,0,NULL,"Not Converted"
164,"2024-05-20","LinkedIn","Campaign B","Europe","Mobile","VP","Medium","Finance","22","2024-06-03","1423.2874401967194",1,14,"Low Value"
165,"2024-05-08","Facebook Ads","Campaign B","USA","Mobile","Director","Medium","Tech",NULL,NULL,NULL,0,NULL,"Not Converted"
166,"2024-02-24","LinkedIn","Campaign A","Europe","Mobile","Director","Medium","Tech",NULL,NULL,NULL,0,NULL,"Not Converted"
167,"2024-04-18","Google Ads","Campaign B","USA","Desktop","VP","Small","Tech",NULL,NULL,NULL,0,NULL,"Not Converted"
168,"2024-01-12","Referral","Campaign A","Europe","Mobile","VP","Medium","Tech",NULL,NULL,NULL,0,NULL,"Not Converted"
169,"2024-02-20","Google Ads","Campaign A","Europe","Mobile","VP","Enterprise","Tech",NULL,NULL,NULL,0,NULL,"Not Converted"
170,"2024-01-22","Google Ads","Campaign B","Europe","Mobile","Manager","Medium","Finance","23","2024-02-05","2666.8089791724506",1,14,"Medium Value"
171,"2024-04-27","Google Ads","Campaign A","USA","Mobile","Director","Small","Tech",NULL,NULL,NULL,0,NULL,"Not Converted"
172,"2024-04-12","Referral","Campaign B","USA","Mobile","Manager","Small","Finance",NULL,NULL,NULL,0,NULL,"Not Converted"
173,"2024-02-13","Facebook Ads","Campaign B","Europe","Mobile","Director","Medium","Tech",NULL,NULL,NULL,0,NULL,"Not Converted"
174,"2024-05-16","Facebook Ads","Campaign B","USA","Mobile","VP","Medium","Tech",NULL,NULL,NULL,0,NULL,"Not Converted"
175,"2024-02-09","Facebook Ads","Campaign A","Europe","Mobile","Manager","Medium","Tech",NULL,NULL,NULL,0,NULL,"Not Converted"
176,"2024-03-30","Google Ads","Campaign B","Europe","Mobile","VP","Medium","Finance",NULL,NULL,NULL,0,NULL,"Not Converted"
177,"2024-04-03","LinkedIn","Campaign B","Europe","Desktop","Director","Medium","Tech",NULL,NULL,NULL,0,NULL,"Not Converted"
178,"2024-02-19","Facebook Ads","Campaign A","USA","Mobile","Director","Medium","Tech",NULL,NULL,NULL,0,NULL,"Not Converted"
179,"2024-06-01","LinkedIn","Campaign A","USA","Mobile","VP","Medium","Finance","24","2024-06-13","1031.2847271967012",1,12,"Low Value"
180,"2024-06-10","Facebook Ads","Campaign A","USA","Mobile","VP","Medium","Tech",NULL,NULL,NULL,0,NULL,"Not Converted"
181,"2024-05-15","Facebook Ads","Campaign A","Europe","Mobile","Director","Enterprise","Finance",NULL,NULL,NULL,0,NULL,"Not Converted"
182,"2024-03-23","Google Ads","Campaign B","Europe","Mobile","Manager","Small","Finance","25","2024-03-30","185.18697393345718",1,7,"Low Value"
183,"2024-04-05","Google Ads","Campaign B","USA","Desktop","Director","Enterprise","Tech",NULL,NULL,NULL,0,NULL,"Not Converted"
184,"2024-01-06","Google Ads","Campaign B","USA","Mobile","Manager","Medium","Tech",NULL,NULL,NULL,0,NULL,"Not Converted"
185,"2024-03-11","LinkedIn","Campaign A","USA","Desktop","Director","Medium","Tech",NULL,NULL,NULL,0,NULL,"Not Converted"
186,"2024-03-28","Facebook Ads","Campaign B","USA","Mobile","Director","Medium","Retail",NULL,NULL,NULL,0,NULL,"Not Converted"
187,"2024-03-04","Google Ads","Campaign B","USA","Mobile","Director","Small","Tech",NULL,NULL,NULL,0,NULL,"Not Converted"
188,"2024-05-09","Facebook Ads","Campaign B","Europe","Desktop","VP","Small","Finance",NULL,NULL,NULL,0,NULL,"Not Converted"
189,"2024-03-28","Facebook Ads","Campaign B","Europe","Desktop","Manager","Small","Finance",NULL,NULL,NULL,0,NULL,"Not Converted"
